ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1765336_s_at	0.0186	0.00000241	2.15e+01	4.95769	3.70	gnsB	Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)
1760422_s_at	0.0186	0.00000384	1.96e+01	4.6851	3.14		
1764904_s_at	0.0186	0.00000569	1.82e+01	4.43751	2.54	sulA///sulA///sulA///ECs1042	SOS cell division inhibitor///SOS cell division inhibitor///SOS cell division inhibitor///SOS cell division inhibitor
1761763_s_at	0.0186	0.00001537	1.50e+01	3.73568	2.16	recN///recN///recN///ECs3478	recombination and repair protein///recombination and repair protein///recombination and repair protein///recombination and repair protein
1763947_s_at	0.0186	0.00001843	1.45e+01	3.59608	2.11	dinI///dinI///dinI///ECs1439	DNA damage-inducible protein I///DNA damage-inducible protein I///DNA damage-inducible protein I///DNA damage-inducible protein I
1767559_s_at	0.0186	0.00002287	1.39e+01	3.42593	1.91	recA///recA///recA///recA	recombinase A///recombinase A///DNA recombination and repair protein; ssDNA-dependent ATPase; synaptase; ssDNA and dsDNA binding protein; ATP-dependent homologous DNA strand exchanger; recombinase A; LexA autocleavage cofactor///recombinase A
1763962_s_at	0.0186	0.00002751	-1.34e+01	3.27692	-1.99		
AFFX-r2-Bs-phe-3_at	0.0186	0.00003389	1.29e+01	3.10449	1.75		
AFFX-LysX-5_at	0.0186	0.00003605	1.28e+01	3.05274	1.91		
1766856_s_at	0.0186	0.00003734	1.27e+01	3.02317	1.79	pta	phosphate acetyltransferase
1764323_s_at	0.0186	0.00003881	1.26e+01	2.99048	1.79	narK///narK///narK///ECs1728	nitrite extrusion protein 1///nitrite extrusion protein///nitrate/nitrite transporter///nitrite extrusion protein
1759873_s_at	0.0186	0.00004041	1.25e+01	2.95612	1.89	yebG///yebG///yebG///ECs2558	DNA damage-inducible protein YebG///DNA damage-inducible protein YebG///DNA damage-inducible protein regulated by LexA///DNA damage-inducible protein YebG
AFFX-r2-Bs-lys-5_at	0.0186	0.00004233	1.24e+01	2.91649	1.83		
1764659_s_at	0.0186	0.00004761	1.21e+01	2.81524	1.67	nrdA///nrdA///nrdA///ECs3117	ribonucleotide-diphosphate reductase subunit alpha///ribonucleotide-diphosphate reductase subunit alpha///ribonucleoside-diphosphate reductase 1, alpha subunit///ribonucleotide-diphosphate reductase subunit alpha
1765464_s_at	0.0186	0.00004911	1.20e+01	2.78848	1.65	fabF///fabF///fabF///ECs1473	3-oxoacyl-ACP synthase///3-oxoacyl-ACP synthase///3-oxoacyl-[acyl-carrier-protein] synthase II///3-oxoacyl-ACP synthase
1768701_at	0.0186	0.00004948	-1.20e+01	2.78189	-1.70	c4965	hypothetical protein
AFFX-PheX-3_at	0.0186	0.00005709	1.17e+01	2.65665	1.95		
1760213_s_at	0.0186	0.00005836	1.16e+01	2.6373	1.71	dinG///dinG///dinG	ATP-dependent DNA helicase DinG///ATP-dependent DNA helicase///ATP-dependent DNA helicase DinG
1768797_s_at	0.0186	0.0000596	-1.16e+01	2.61879	-1.66	yrhA///yrhA	hypothetical protein///pseudo
1766900_s_at	0.0186	0.00006354	1.14e+01	2.56193	1.49	rpsU///rpsU///rpsU///rpsU	30S ribosomal protein S21///30S ribosomal protein S21///30S ribosomal subunit protein S21///30S ribosomal protein S21
1760270_s_at	0.0186	0.00006426	1.14e+01	2.55191	1.54	napD///napD///napD///ECs3096	assembly protein for periplasmic nitrate reductase///assembly protein for periplasmic nitrate reductase///assembly protein for periplasmic nitrate reductase///assembly protein for periplasmic nitrate reductase
1763857_s_at	0.0186	0.0000684	1.13e+01	2.49609	1.91	ECs5456///mokP///Z2054///Z1783///Z1342///hokD///ECs1520///ECs1773///ECs1080///ECs2754	hypothetical protein///cell killing protein encoded within cryptic prophage CP-933P///killer protein encoded by prophage CP-933O; paralogous proteins disrupt host membranes when produced in excess///Gef-like protein encoded by prophage CP-933N///cell killing protein encoded within cryptic prophage CP-933M///Qin prophage; small toxic polypeptide///prophage maintenance protein///prophage maintenance protein///prophage maintenance protein///prophage maintenance protein
1763948_s_at	0.0186	0.00007068	1.12e+01	2.46678	1.55	uvrB///uvrB///uvrB///ECs0857	excinuclease ABC subunit B///excinuclease ABC subunit B///exision nuclease of nucleotide excision repair, DNA damage recognition component///excinuclease ABC subunit B
AFFX-r2-Bs-lys-M_at	0.0186	0.00007182	1.11e+01	2.45231	1.49		
AFFX-r2-Ec-LysX_at	0.0186	0.00007424	1.11e+01	2.42243	1.61		
1759322_at	0.0186	0.00007584	-1.10e+01	2.40321	-1.86	glvC	pseudo
1766412_at	0.0186	0.00007872	1.09e+01	2.36947	1.44	rfbB	dTDP-glucose 4,6 dehydratase, NAD(P)-binding
1766945_at	0.0186	0.00008311	-1.08e+01	2.32019	-1.60	c4813	hypothetical protein
1760102_s_at	0.0186	0.00008742	-1.07e+01	2.27405	-1.41	yhdJ///yhdJ///yhdJ///ECs4134	methyltransferase///methyltransferase///DNA adenine methyltransferase, SAM-dependent///methyltransferase
AFFX-PheX-M_at	0.0186	0.00008839	1.07e+01	2.26394	1.41		
1767285_s_at	0.0186	0.00009283	1.06e+01	2.21895	1.59	sbmC///sbmC///sbmC///ECs2811	DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor
1764431_s_at	0.0186	0.00009522	-1.05e+01	2.19553	-3.42	c4249	hypothetical protein
1762714_s_at	0.0186	0.00009716	1.05e+01	2.17694	1.39	moeA///moeA	molybdopterin biosynthesis protein MoeA///molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein
1764557_s_at	0.0186	0.00009967	1.04e+01	2.15335	1.51	umuD///umuD///umuD///ECs1678	DNA polymerase V subunit UmuD///DNA polymerase V subunit UmuD///translesion error-prone DNA polymerase V subunit; RecA-activated auto-protease///DNA polymerase V subunit UmuD
1766450_s_at	0.0186	0.00010037	1.04e+01	2.14689	1.48	ruvA///ruvA///ruvA///ruvA	Holliday junction DNA helicase RuvA///Holliday junction DNA helicase RuvA///component of RuvABC resolvasome, regulatory subunit///Holliday junction DNA helicase RuvA
1759737_s_at	0.0186	0.00010142	-1.04e+01	2.13728	-1.59		
1762130_s_at	0.0186	0.00010581	1.03e+01	2.09795	1.42	prsA///prsA///prs///ECs1712	ribose-phosphate pyrophosphokinase///ribose-phosphate pyrophosphokinase///phosphoribosylpyrophosphate synthase///ribose-phosphate pyrophosphokinase
1760369_at	0.0186	0.00010865	1.03e+01	2.07334	1.49	hypE	carbamoyl dehydratase, hydrogenases 1,2,3 maturation protein
AFFX-r2-Bs-phe-M_at	0.0186	0.0001093	1.03e+01	2.06782	1.40		
1761312_s_at	0.0186	0.0001098	-1.03e+01	2.06355	-1.37	acrE///acrE///acrE///ECs4137	acriflavin resistance protein E///transmembrane protein affects septum formation and cell membrane permeability///cytoplasmic membrane lipoprotein///transmembrane protein affects septum formation and cell membrane permeability
1762249_s_at	0.0186	0.0001175	1.01e+01	2.00024	1.35	Z1655///Z1215///ECs1401	hypothetical protein///hypothetical protein///hypothetical protein
1759884_s_at	0.0186	0.00012111	1.01e+01	1.9719	1.36		
1768202_s_at	0.0186	0.00012635	9.97	1.93207	1.42		
1764390_s_at	0.0186	0.00012788	9.95	1.92073	1.40	c4090	hypothetical protein
1765695_s_at	0.0186	0.000128	9.94	1.91986	1.60	yebF///yebF///yebF///ECs2557	hypothetical protein///hypothetical protein///extracellular Colicin M immunity family protein///hypothetical protein
1759614_at	0.0186	0.00012951	9.92	1.90881	1.52	tdcC	threonine/serine transporter TdcC
1763835_s_at	0.0186	0.00013322	-9.87	1.88211	-1.29		
1765732_s_at	0.0186	0.00013971	9.77	1.83709	1.30	napF///napF///napF///ECs3097	ferredoxin-type protein///ferredoxin-type protein///ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA///ferredoxin-type protein
1765969_s_at	0.0186	0.00014094	-9.76	1.82876	-1.37	yidK///yidK///ECs4620	symporter YidK///putative transporter///symporter YidK
1766339_s_at	0.0186	0.00014365	-9.72	1.81071	-1.47	dgoT///dgoT	D-galactonate transporter///D-galactonate transporter
1768177_s_at	0.0186	0.00014594	9.69	1.79566	1.31	accD///accD///accD///ECs3200	acetyl-CoA carboxylase subunit beta///acetyl-CoA carboxylase subunit beta///acetyl-CoA carboxylase, beta (carboxyltransferase) subunit///acetyl-CoA carboxylase carboxyltransferase subunit beta
1763932_at	0.0186	0.00014607	9.69	1.79479	1.46	psrD	ncRNA
1766378_s_at	0.0186	0.00014734	9.67	1.78658	2.08	c2757	hypothetical protein
1764502_s_at	0.0186	0.00014789	-9.66	1.78306	-1.34	yidP///yidP///ECs4624	transcriptional regulator///UTRA domain-containing GntR family putative transcriptional regulator///transcriptional regulator
